,Vehicle Full Code,Vehicle Code,OEM Model Name,SIAM Company Code,SIAM Segment 1,SIAM Segment 2,SIAM Fuel,Production Qty,Domestic Sale,Export Sale,Category Name,YrMth
17584,FALACCEEDI,LA,Linea,FIAT INDIA AUTOMOBILES PVT LTD,C+,Executive,DIESEL,0,0,0,Passenger car PV,01-05-2019
17585,HCCCODEEDI,CC,Civic,HONDA CARS INDIA LTD,D,Executive,DIESEL,64,23,0,Passenger car PV,01-05-2019
17586,HCCCODEEPT,CC,Civic,HONDA CARS INDIA LTD,D,Executive,PETROL,604,345,0,Passenger car PV,01-05-2019
17587,HYETODEEDI,ET,Elantra,HYUNDAI MOTOR INDIA LTD,D,Executive,DIESEL,42,32,0,Passenger car PV,01-05-2019
17588,HYETODEEPT,ET,Elantra,HYUNDAI MOTOR INDIA LTD,D,Executive,PETROL,52,73,0,Passenger car PV,01-05-2019
17589,SKOAP3EEDI,OA,Octavia,SKODAAUTO INDIA PVT LTD,Premium Car 3,Executive,DIESEL,132,71,0,Passenger car PV,01-05-2019
17590,SKOAP3EEPT,OA,Octavia,SKODAAUTO INDIA PVT LTD,Premium Car 3,Executive,PETROL,208,163,0,Passenger car PV,01-05-2019
17591,TKCAODEEDI,CA,Corolla,TOYOTA KIRLOSKAR MOTOR PVT LTD,D,Executive,DIESEL,32,18,0,Passenger car PV,01-05-2019
17592,TKCAODEEPT,CA,Corolla,TOYOTA KIRLOSKAR MOTOR PVT LTD,D,Executive,PETROL,208,116,0,Passenger car PV,01-05-2019
17593,SKSBOEPMPT,SB,Superb,SKODAAUTO INDIA PVT LTD,E,Premium:,PETROL,82,58,0,Passenger car PV,01-05-2019
17594,SKSBOEPMDI,SB,Superb,SKODAAUTO INDIA PVT LTD,E,Premium:,DIESEL,3,27,0,Passenger car PV,01-05-2019
17595,VIPTOEPMDI,PT,Passat,VOLKSWAGEN INDIA PVT LTD,E,Premium:,DIESEL,0,12,0,Passenger car PV,01-05-2019
17596,FIMUOEPMPT,MU,MUSTANG,FORD INDIA PVT LTD,E,Premium:,PETROL,0,15,0,Passenger car PV,01-05-2019
17597,TKCYOEPMHY,CY,CAMRY,TOYOTA KIRLOSKAR MOTOR PVT LTD,E,Premium:,HYBRID,41,45,0,Passenger car PV,01-05-2019
17598,FMTGF1U1DI,TG,Trax-Gama,FORCE MOTORS LTD,MPV,UV1,DIESEL,32,27,0,Utility vehicles PV,01-05-2019
17599,FIFEF2U1PT,FE,FORD ECOSPORT,FORD INDIA PVT LTD,SUV,UV1,PETROL,6726,1179,5299,Utility vehicles PV,01-05-2019
17600,FIFEF2U1DI,FE,FORD ECOSPORT,FORD INDIA PVT LTD,SUV,UV1,DIESEL,2962,2425,434,Utility vehicles PV,01-05-2019
17601,HCWVF1U1DI,WV,WR-V,HONDA CARS INDIA LTD,MPV,UV1,DIESEL,805,726,0,Passenger car PV,01-05-2019
17602,HCWVF1U1PT,WV,WR-V,HONDA CARS INDIA LTD,MPV,UV1,PETROL,875,794,0,Passenger car PV,01-05-2019
17603,HYCRF2U1DI,CR,CRETA,HYUNDAI MOTOR INDIA LTD,SUV,UV1,DIESEL,6165,6147,95,Utility vehicles PV,01-05-2019
17604,HYCRF2U1PT,CR,CRETA,HYUNDAI MOTOR INDIA LTD,SUV,UV1,PETROL,5732,2907,2831,Utility vehicles PV,01-05-2019
17605,TMTFBBCTDI,TF,TIGOR,TATA MOTORS LTD,B+,Compact:,DIESEL,33,50,0,Passenger car PV,01-05-2019
17606,TMTFBBCTPT,TF,TIGOR,TATA MOTORS LTD,B+,Compact:,PETROL,209,186,0,Passenger car PV,01-05-2019
17607,TMZTOBCTDI,ZT,Zest,TATA MOTORS LTD,B,Compact:,DIESEL,317,277,0,Passenger car PV,01-05-2019
17608,TMZTOBCTPT,ZT,Zest,TATA MOTORS LTD,B,Compact:,PETROL,18,23,0,Passenger car PV,01-05-2019
17609,TKGLOCCTPT,GL,GLANZA,TOYOTA KIRLOSKAR MOTOR PVT LTD,C,Compact:,PETROL,0,2142,0,Passenger car PV,01-05-2019
17610,TKLHBBCTPT,LH,Liva Hatchback,TOYOTA KIRLOSKAR MOTOR PVT LTD,B+,Compact:,PETROL,1803,384,538,Passenger car PV,01-05-2019
17611,MMRNF2U4DI,RN,Rexton,MAHINDRA & MAHINDRA LTD,SUV,UV4:,DIESEL,0,0,0,Utility vehicles PV,01-03-2019
17612,TKFRF2U4DI,FR,Fortuner,TOYOTA KIRLOSKAR MOTOR PVT LTD,SUV,UV4:,DIESEL,1809,1952,0,Utility vehicles PV,01-03-2019
17613,TKFRF2U4PT,FR,Fortuner,TOYOTA KIRLOSKAR MOTOR PVT LTD,SUV,UV4:,PETROL,31,24,0,Utility vehicles PV,01-03-2019
17614,SKKOF2U5DI,KO,KODIAQ,SKODAAUTO INDIA PVT LTD,SUV,UV5:,DIESEL,136,252,0,Passenger car PV,01-03-2019
17615,TKLRF2U5DI,LR,Land Cruiser,TOYOTA KIRLOSKAR MOTOR PVT LTD,SUV,UV5:,DIESEL,0,18,0,Utility vehicles PV,01-03-2019
17616,TKPRF2U5DI,PR,Prado,TOYOTA KIRLOSKAR MOTOR PVT LTD,SUV,UV5:,DIESEL,0,3,0,Utility vehicles PV,01-03-2019
17617,VITJF2U5DI,TJ,TIGUAN,VOLKSWAGEN INDIA PVT LTD,SUV,UV5:,DIESEL,54,54,0,Passenger car PV,01-03-2019
17618,MMMMF1V1DI,MM,Maxximo Minivan VX,MAHINDRA & MAHINDRA LTD,MPV,V1:,DIESEL,157,18,225,Vans PV,01-03-2019
17619,MMSDF1V1EC,SD,SUPRO,MAHINDRA & MAHINDRA LTD,MPV,V1:,ELECTRIC,6,3,0,Passenger car PV,01-03-2019
17620,MMSDF1V1DI,SD,SUPRO,MAHINDRA & MAHINDRA LTD,MPV,V1:,DIESEL,960,845,3,Vans PV,01-03-2019
17621,MSEEF1V1PT,EE,Eeco,MARUTI SUZUKI INDIA LTD,MPV,V1:,PETROL,8858,9893,43,Vans PV,01-03-2019
17622,MSOIF1V1PT,OI,Omni,MARUTI SUZUKI INDIA LTD,MPV,V1:,PETROL,6852,6545,139,Vans PV,01-03-2019
17623,TMVEF1V1DI,VE,Venture,TATA MOTORS LTD,MPV,V1:,DIESEL,0,0,0,Vans PV,01-03-2019
17624,MMJBF1V2DI,JB,JEETO,MAHINDRA & MAHINDRA LTD,MPV,V2:,DIESEL,1544,789,0,Passenger car PV,01-03-2019
17625,MMMOF1V2DI,MO,Maxximo,MAHINDRA & MAHINDRA LTD,MPV,V2:,DIESEL,0,0,0,Vans PV,01-03-2019
17626,TMAMF1V2DI,AM,ACE Magic,TATA MOTORS LTD,MPV,V2:,DIESEL,2018,2279,114,Vans PV,01-03-2019
17627,TMAMF1V2CN,AM,ACE Magic,TATA MOTORS LTD,MPV,V2:,CNG,0,0,0,Vans PV,01-03-2019
17628,TMMIF1V2DI,MI,Magic Iris,TATA MOTORS LTD,MPV,V2:,DIESEL,250,264,0,Vans PV,01-03-2019
17629,TMMIF1V2CN,MI,Magic Iris,TATA MOTORS LTD,MPV,V2:,CNG,0,0,0,Vans PV,01-03-2019
17630,HFJSF2U4DI,JS,PAJERO SPORT,HINDUSTAN MOTOR FINANCE CORPORATION LTD,SUV,UV4:,DIESEL,0,11,0,Utility vehicles PV,01-03-2019
17631,RIDRF2U1DI,DR,Duster,RENAULT INDIA PVT LTD,SUV,UV1,DIESEL,746,644,0,Utility vehicles PV,01-03-2019
17632,RIDRF2U1PT,DR,Duster,RENAULT INDIA PVT LTD,SUV,UV1,PETROL,352,233,0,Utility vehicles PV,01-03-2019
17633,TMAIF2U1DI,AI,NEXON,TATA MOTORS LTD,SUV,UV1,DIESEL,2200,2366,40,Passenger car PV,01-03-2019
17634,TMAIF2U1PT,AI,NEXON,TATA MOTORS LTD,SUV,UV1,PETROL,3301,3250,55,Passenger car PV,01-03-2019
17635,TMSOF1U1DI,SO,TATA Sumo,TATA MOTORS LTD,MPV,UV1,DIESEL,119,96,106,Utility vehicles PV,01-03-2019
17636,GMTVF1U2DI,TV,Tavera,GENERAL MOTORS INDIA PVT LTD,MPV,UV2,DIESEL,0,0,0,Utility vehicles PV,01-03-2019
17637,HCBRF2U1PT,BR,BR-V,HONDA CARS INDIA LTD,SUV,UV1,PETROL,180,219,0,Utility vehicles PV,01-03-2019
17638,HCBRF2U1DI,BR,BR-V,HONDA CARS INDIA LTD,SUV,UV1,DIESEL,120,106,0,Utility vehicles PV,01-03-2019
17639,MMMRF1U2DI,MR,MARAZZO,MAHINDRA & MAHINDRA LTD,MPV,UV2,DIESEL,2705,2751,0,Passenger car PV,01-03-2019
17640,MMSPF2U2DI,SP,Scorpio,MAHINDRA & MAHINDRA LTD,SUV,UV2,DIESEL,5580,5433,47,Utility vehicles PV,01-03-2019
17641,MMX5F2U2PT,X5,Xuv500,MAHINDRA & MAHINDRA LTD,SUV,UV2,PETROL,0,0,0,Utility vehicles PV,01-03-2019
17642,MMX5F2U2DI,X5,Xuv500,MAHINDRA & MAHINDRA LTD,SUV,UV2,DIESEL,1856,1916,123,Utility vehicles PV,01-03-2019
17643,MMXOF1U2DI,XO,Xylo,MAHINDRA & MAHINDRA LTD,MPV,UV2,DIESEL,1011,402,0,Utility vehicles PV,01-03-2019
17644,MSSCF2U1PT,SC,S-CROSS,MARUTI SUZUKI INDIA LTD,SUV,UV1,PETROL,172,0,218,Utility vehicles PV,01-03-2019
17645,MSSCF2U1DI,SC,S-CROSS,MARUTI SUZUKI INDIA LTD,SUV,UV1,DIESEL,724,2424,0,Utility vehicles PV,01-03-2019
17646,MSVIF2U1DI,VI,VITARA BREZZA,MARUTI SUZUKI INDIA LTD,SUV,UV1,DIESEL,7905,14181,92,Utility vehicles PV,01-03-2019
17647,NMKCF2U1DI,KC,KICKS,NISSAN MOTOR INDIA PVT LTD,SUV,UV1,DIESEL,144,399,24,Passenger car PV,01-03-2019
17648,NMKCF2U1PT,KC,KICKS,NISSAN MOTOR INDIA PVT LTD,SUV,UV1,PETROL,58,302,0,Passenger car PV,01-03-2019
17649,HYCRF2U1DI,CR,CRETA,HYUNDAI MOTOR INDIA LTD,SUV,UV1,DIESEL,7740,7645,61,Utility vehicles PV,01-03-2019
17650,HYCRF2U1PT,CR,CRETA,HYUNDAI MOTOR INDIA LTD,SUV,UV1,PETROL,7253,3803,3703,Utility vehicles PV,01-03-2019
17651,HCWVF1U1PT,WV,WR-V,HONDA CARS INDIA LTD,MPV,UV1,PETROL,1321,1264,6,Passenger car PV,01-03-2019
17652,HCWVF1U1DI,WV,WR-V,HONDA CARS INDIA LTD,MPV,UV1,DIESEL,1080,1288,0,Passenger car PV,01-03-2019
17653,FIFEF2U1DI,FE,FORD ECOSPORT,FORD INDIA PVT LTD,SUV,UV1,DIESEL,2338,2735,190,Utility vehicles PV,01-03-2019
17654,FIFEF2U1PT,FE,FORD ECOSPORT,FORD INDIA PVT LTD,SUV,UV1,PETROL,10819,1506,9149,Utility vehicles PV,01-03-2019
17655,FMTGF1U1DI,TG,Trax-Gama,FORCE MOTORS LTD,MPV,UV1,DIESEL,10,20,0,Utility vehicles PV,01-03-2019
17656,TMNOALMOPT,NO,Nano,TATA MOTORS LTD,A LOW,Micro,PETROL,0,0,0,Passenger car PV,01-03-2019
17657,TMNOALMOCN,NO,Nano,TATA MOTORS LTD,A LOW,Micro,CNG,0,0,0,Passenger car PV,01-03-2019
17658,HYENOBMIPT,EN,Eon,HYUNDAI MOTOR INDIA LTD,B,Mini:,PETROL,0,0,0,Passenger car PV,01-03-2019
17659,MMAJOBMIEC,AJ,E2O,MAHINDRA & MAHINDRA LTD,B,Mini:,ELECTRIC,0,9,32,Passenger car PV,01-03-2019
17660,MSAOOBMIPT,AO,Alto,MARUTI SUZUKI INDIA LTD,B,Mini:,PETROL,17438,16826,2262,Passenger car PV,01-03-2019
17661,MSWROBMIPT,WR,Wagon R,MARUTI SUZUKI INDIA LTD,B,Mini:,PETROL,14512,16152,96,Passenger car PV,01-03-2019
17662,RIKWOBMIPT,KW,KWID,RENAULT INDIA PVT LTD,B,Mini:,PETROL,6565,5853,750,Passenger car PV,01-03-2019
17663,FAANF1U1DI,AN,Avventura,FIAT INDIA AUTOMOBILES PVT LTD,MPV,UV1,DIESEL,0,34,0,Utility vehicles PV,01-03-2019
17664,FAANF1U1PT,AN,Avventura,FIAT INDIA AUTOMOBILES PVT LTD,MPV,UV1,PETROL,0,0,0,Utility vehicles PV,01-03-2019
17665,FAGPBBCTDI,GP,Grande Punto,FIAT INDIA AUTOMOBILES PVT LTD,B+,Compact:,DIESEL,0,2,0,Passenger car PV,01-03-2019
17666,FAGPBBCTPT,GP,Grande Punto,FIAT INDIA AUTOMOBILES PVT LTD,B+,Compact:,PETROL,0,39,0,Passenger car PV,01-03-2019
17667,FIFGOBCTPT,FG,Figo,FORD INDIA PVT LTD,B,Compact:,PETROL,5321,373,8450,Passenger car PV,01-03-2019
17668,FIFGOBCTDI,FG,Figo,FORD INDIA PVT LTD,B,Compact:,DIESEL,457,318,19,Passenger car PV,01-03-2019
17669,RIAHF2U1PT,AH,CAPTUR,RENAULT INDIA PVT LTD,SUV,UV1,PETROL,23,116,0,Passenger car PV,01-03-2019
17670,HCCVF2U4DI,CV,CRV,HONDA CARS INDIA LTD,SUV,UV4:,DIESEL,30,40,0,Utility vehicles PV,01-03-2019
17671,HCCVF2U4PT,CV,CRV,HONDA CARS INDIA LTD,SUV,UV4:,PETROL,90,64,0,Utility vehicles PV,01-03-2019
17672,HYSFF2U4DI,SF,Santa Fe,HYUNDAI MOTOR INDIA LTD,SUV,UV4:,DIESEL,0,0,0,Utility vehicles PV,01-03-2019
17673,HYTDF2U4PT,TD,TUCSON,HYUNDAI MOTOR INDIA LTD,SUV,UV4:,PETROL,58,69,0,Utility vehicles PV,01-03-2019
17674,HYTDF2U4DI,TD,TUCSON,HYUNDAI MOTOR INDIA LTD,SUV,UV4:,DIESEL,92,77,0,Utility vehicles PV,01-03-2019
17675,IMMXF2U4DI,MX,MU-X,ISUZU MOTORS INDIA PVT LTD,SUV,UV4:,DIESEL,12,89,2,Utility vehicles PV,01-03-2019
17676,MMALF2U4DI,AL,ALTURAS,MAHINDRA & MAHINDRA LTD,SUV,UV4:,DIESEL,450,321,0,Utility vehicles PV,01-03-2019
17677,HYSROBMIPT,SR,Santro,HYUNDAI MOTOR INDIA LTD,B,Mini:,PETROL,7860,4902,612,Passenger car PV,01-05-2019
17678,SKKOF2U5DI,KO,KODIAQ,SKODAAUTO INDIA PVT LTD,SUV,UV5:,DIESEL,0,95,0,Passenger car PV,01-05-2019
17679,TKFRF2U4DI,FR,Fortuner,TOYOTA KIRLOSKAR MOTOR PVT LTD,SUV,UV4:,DIESEL,1729,1442,1,Utility vehicles PV,01-05-2019
17680,NMKCF2U1PT,KC,KICKS,NISSAN MOTOR INDIA PVT LTD,SUV,UV1,PETROL,118,99,26,Passenger car PV,01-05-2019
17681,MSVIF2U1PT,VI,VITARA BREZZA,MARUTI SUZUKI INDIA LTD,SUV,UV1,PETROL,4,0,0,Utility vehicles PV,01-05-2019
17682,MSVIF2U1DI,VI,VITARA BREZZA,MARUTI SUZUKI INDIA LTD,SUV,UV1,DIESEL,14125,8781,5,Utility vehicles PV,01-05-2019
17683,MSSCF2U1DI,SC,S-CROSS,MARUTI SUZUKI INDIA LTD,SUV,UV1,DIESEL,1846,1507,1,Utility vehicles PV,01-05-2019
17684,MSSCF2U1PT,SC,S-CROSS,MARUTI SUZUKI INDIA LTD,SUV,UV1,PETROL,146,0,44,Utility vehicles PV,01-05-2019
17685,MSGYF1U1PT,GY,Gypsy,MARUTI SUZUKI INDIA LTD,MPV,UV1,PETROL,0,0,1,Utility vehicles PV,01-05-2019
17686,MSERF1U1PT,ER,Ertiga,MARUTI SUZUKI INDIA LTD,MPV,UV1,PETROL,4557,4247,243,Utility vehicles PV,01-05-2019
17687,MSERF1U1DI,ER,Ertiga,MARUTI SUZUKI INDIA LTD,MPV,UV1,DIESEL,4070,4617,0,Utility vehicles PV,01-05-2019
